frame.number,frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,http.request.method,http.host,http.user_agent,http.response.code,dns.qry.name,dns.resp.name,dns.resp.type,dns.resp.ttl,tls.handshake.ciphersuite,tls.handshake.ciphersuite,tls.handshake.session_id,tls.handshake.certificates
89,May 18, 2023 20:44:49.562756910 -03,172.16.7.153,224.0.0.251,,,5353,5353,,,,,,iPad de Pedro._companion-link._tcp.local,47,16,33,4500,,,,
90,May 18, 2023 20:44:49.573332109 -03,172.16.0.3,224.0.0.251,,,5353,5353,,,,,,_googlecast._tcp.local,UnionTV-1eb827f84c5b4d6966c22b214fc4aefc._googlecast._tcp.local,1eb827f8-4c5b-4d69-66c2-2b214fc4aefc.local,12,16,33,1,120,4500,120,120,,,,
91,May 18, 2023 20:44:49.664870781 -03,172.16.3.239,224.0.0.251,,,5353,5353,,,,,iPad de Pedro._companion-link._tcp.local,<Root>,41,,,,,
92,May 18, 2023 20:44:49.765834189 -03,172.16.2.249,224.0.0.251,,,53739,5353,,,,,iPad de Erika Vitoria._companion-link._tcp.local,,,,,,,
93,May 18, 2023 20:44:49.768219239 -03,172.16.0.248,224.0.0.251,,,5353,5353,,,,,,Android-6.local,Android-6.local,Android-6.local,1,28,47,1,28,120,120,120,,,,
94,May 18, 2023 20:44:49.768219359 -03,172.16.7.211,224.0.0.251,,,5353,5353,,,,,,{"nm":"POCO M5","as":"[8194]","ip":"211"}._mi-connect._udp.local,_services._dns-sd._udp.local,_mi-connect._udp.local,211.7.16.172.in-addr.arpa,D.0.7.F.6.2.E.F.F.F.F.2.1.B.C.3.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa,Android-64.local,Android-64.local,{"nm":"POCO M5","as":"[8194]","ip":"211"}._mi-connect._udp.local,211.7.16.172.in-addr.arpa,D.0.7.F.6.2.E.F.F.F.F.2.1.B.C.3.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa,Android-64.local,16,12,12,33,12,12,1,28,47,16,33,47,12,47,12,47,1,28,4500,4500,4500,120,120,120,120,120,4500,120,120,120,,,,
95,May 18, 2023 20:44:49.867854495 -03,172.16.8.56,224.0.0.251,,,5353,5353,,,,,_companion-link._tcp.local,_sleep-proxy._udp.local,<Root>,41,,,,,
96,May 18, 2023 20:44:49.868280744 -03,172.16.0.253,224.0.0.251,,,5353,5353,,,,,,_mi-connect._udp.local,12,0,,,,
97,May 18, 2023 20:44:49.871480235 -03,172.16.9.95,224.0.0.251,,,5353,5353,,,,,{"nm":"Redmi Note 10S","as":"[8194]","ip":"95"}._mi-connect._udp.local,Android-9.local,Android-9.local,Android-9.local,Android-9.local,33,1,28,120,120,120,,,,
98,May 18, 2023 20:44:49.872013154 -03,172.16.7.153,224.0.0.251,,,5353,5353,,,,,,iPad de Pedro._companion-link._tcp.local,iPad de Pedro._companion-link._tcp.local,16,47,16,33,4500,4500,,,,
